,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
1,14,0.002,0.00358872434017005,500,1,-1,0.00273987333339797,500,0
4,35,-1,0.00705197377114427,500,0,0.022,0.0061468093171517,500,1
16,119,-1,0.01636073123826,500,0,0.706,0.0203851664863592,500,1
18,133,-1,0.0133234526075653,500,0,0.782,0.0178880745493592,500,1
23,168,-1,0.00622097762473784,500,0,0.888,0.0137565432273518,500,1
46,329,0.386,0.0216723158123975,500,1,-1,0.00963367649369755,500,0
47,336,0.344,0.0215058285598884,500,1,0.97,0.00877547631670558,500,1
49,350,-1,0.019867758875699,500,0,0.974,0.00699879825024231,500,1
50,357,0.264,0.0183660001854826,500,1,0.982,0.00615387818358276,500,1
54,385,-1,0.0110866601031774,500,0,0.994,0.00384250219657243,500,1
