,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,7,0.016,0.00639144682862179,500,1,0.006,0.00286712244366882,500,1
1,14,0.036,0.00740949100702158,500,1,0.01,0.00428820676540104,500,1
2,21,0.024,0.00857856693645827,500,1,0.01,0.00566105897021938,500,1
3,28,0.062,0.00997069399265675,500,1,0.026,0.0070654154334084,500,1
4,35,0.058,0.0114858574475145,500,1,0.04,0.00854017126170701,500,1
5,42,0.096,0.0130789364473501,500,1,0.058,0.010207912448307,500,1
6,49,0.136,0.0147660741855627,500,1,0.062,0.0119810512456069,500,1
7,56,0.168,0.0162144486165039,500,1,0.098,0.0138420781624804,500,1
8,63,0.228,0.0175717514395362,500,1,0.116,0.0156567806636473,500,1
9,70,0.216,0.0184535096035804,500,1,0.172,0.0174210666141187,500,1
10,77,0.23,0.0189907804345967,500,1,0.204,0.0189522809029357,500,1
11,84,0.248,0.0192793575812874,500,1,0.28,0.0201954670140528,500,1
12,91,0.216,0.0192511590817843,500,1,0.344,0.0211452692806476,500,1
13,98,0.246,0.0188609277082323,500,1,0.388,0.021790678387762,500,1
14,105,0.218,0.0182000311211206,500,1,0.41,0.0221653860459153,500,1
15,112,0.18,0.0171818879721465,500,1,0.48,0.022332557616686,500,1
16,119,0.156,0.0159523168343472,500,1,0.5,0.022356081652438,500,1
17,126,0.13,0.0149035029653436,500,1,0.548,0.0222944838562256,500,1
18,133,0.122,0.013421663072129,500,1,0.53,0.0221856261312258,500,1
19,140,0.068,0.0120079762470198,500,1,0.576,0.0220688739120142,500,1
20,147,0.05,0.0106196356525478,500,1,0.588,0.0219544904208457,500,1
21,154,0.044,0.00929318907377999,500,1,0.59,0.0218523365409589,500,1
22,161,0.048,0.00823684897202898,500,1,0.652,0.0217686172004337,500,1
23,168,0.024,0.00713097055343241,500,1,0.62,0.0217011553019786,500,1
24,175,0.028,0.00614252034946392,500,1,0.618,0.0216487415959475,500,1
25,182,0.014,0.00543184885117387,500,1,0.608,0.0216093934444464,500,1
26,189,0.014,0.00465053977428325,500,1,0.646,0.0215745021844538,500,1
27,196,0.01,0.00398699157835051,500,1,0.646,0.0215505880501049,500,1
28,203,0.002,0.00343747597805216,500,1,0.616,0.0215325811226882,500,1
29,210,0.006,0.00293245290335383,500,1,0.624,0.0215181819631674,500,1
30,217,0.004,0.00275127919406282,500,1,0.624,0.021508324166617,500,1
31,224,0.002,0.00228175392789656,500,1,0.63,0.0214992235900774,500,1
32,231,0.004,0.00195667934901815,500,1,0.626,0.0214939655348249,500,1
33,238,0.006,0.00162450282105116,500,1,0.644,0.0214893902065942,500,1
34,245,0.002,0.00134938696483021,500,1,0.64,0.0214861105668565,500,1
35,252,0.004,0.00117343288869154,500,1,0.654,0.0214838588759387,500,1
36,259,0,0.00100466584866601,500,1,0.648,0.0214818466694226,500,1
37,266,0.002,0.000913188886291814,500,1,0.628,0.0214806263368091,500,1
38,273,0.002,0.00083153983557711,500,1,0.634,0.0214796708713191,500,1
39,280,0,0.000608227268876394,500,1,0.648,0.021478771476973,500,1
40,287,0,0.00045607031925024,500,1,0.642,0.0214784468627639,500,1
41,294,0,0.000546923025025333,500,1,0.668,0.0214783072325322,500,1
42,301,0,0.00051363780150376,500,1,0.614,0.021477918355691,500,1
43,308,0,0.00055049098841911,500,1,0.628,0.0214776855399252,500,1
44,315,0,0.000546178753365414,500,1,0.632,0.0214774264611349,500,1
45,322,0,0.00040892773669615,500,1,0.648,0.0214771168237711,500,1
46,329,0,0.00035617712075436,500,1,0.626,0.021476892125114,500,1
47,336,0,0.000351697313855312,500,1,0.662,0.0214767617160502,500,1
48,343,0,0.000200681595468992,500,1,0.654,0.0214765316260365,500,1
49,350,0,0.000148077246507912,500,1,0.666,0.0214765189040153,500,1
50,357,0,0.000203859816093414,500,1,0.632,0.0214765340284429,500,1
51,364,0,0.00206693267747627,500,1,0.656,0.0214778752360094,500,1
52,371,0,0.00254507118860656,500,1,0.608,0.0214742586110129,500,1
53,378,0.002,0.00340083207654383,500,1,0.634,0.0214711426445407,500,1
54,385,0.008,0.0042785289641976,500,1,0.658,0.0214645399882904,500,1
55,392,0.01,0.00547117851939536,500,1,0.628,0.0214562922880737,500,1
56,399,0.03,0.00731607062147655,500,1,0.622,0.0214433215612397,500,1
