,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
7,56,0.012,0.00501475600059334,500,1,-1,0.00457932297152488,500,0
8,63,0.016,0.0054163755699988,500,1,-1,0.00494262462463101,500,0
11,84,-1,0.00627718290658188,500,0,0.022,0.00614670549604319,500,1
14,105,0.026,0.00709895408871297,500,1,-1,0.0075383972380281,500,0
17,126,-1,0.00803780969843869,500,0,0.032,0.00894747562647139,500,1
24,175,-1,0.0108886624995377,500,0,0.084,0.0125627687443733,500,1
29,210,0.102,0.0126759996705746,500,1,0.13,0.0153667116995977,500,1
32,231,-1,0.0134204174151307,500,0,0.166,0.0169620057248841,500,1
35,252,0.104,0.0139658513434551,500,1,-1,0.0183707745602908,500,0
43,308,0.134,0.0159225373156041,500,1,-1,0.0210993429659883,500,0
45,322,-1,0.0165342407509207,500,0,0.382,0.0215419306909189,500,1
50,357,0.214,0.018695243506536,500,1,-1,0.0222453550422291,500,0
52,371,-1,0.0194656742984345,500,0,0.512,0.0223526754784693,500,1
54,385,-1,0.0200265170471127,500,0,0.528,0.0223313989991978,500,1
56,399,-1,0.020433279480095,500,0,0.542,0.0221729269469351,500,1
